"id","PlayerName","DraftAge","Country","Height","Weight","Position","DraftYear","Overall","CSS_rank","rs_GP","rs_G","rs_A","rs_P","rs_PIM","rs_PlusMinus","po_GP","po_G","po_A","po_P","po_PIM","po_PlusMinus","sum_7yr_GP","sum_7yr_TOI"
"2,082",Michael Henrich,18,Canada,74,205,C,"1,998",13,5,66,41,22,63,75,5,5,1,3,4,0,-3,,
"60,629",Randy Copley,19,Canada,74,216,L,"1,998",40,22,69,34,42,76,194,-6,4,0,0,0,16,-2,,
"60,630",Maxym Linnik,19,Ukraine,76,198,D,"1,998",41,,35,4,14,18,130,0,,,,,,,,
"12,777",Jason Beckett,18,Canada,75,216,D,"1,998",42,44,71,1,11,12,241,1,5,0,0,0,16,-2,,
"79,187",Ian Forbes,18,Canada,78,216,D,"1,998",51,,61,2,3,5,164,3,13,0,0,0,16,1,,
"18,783",Alexander Zevakhin,18,Russia,72,203,R,"1,998",54,5,48,17,18,35,26,-3,,,,,,,,
"3,243",Tomek Valtonen,18,Finland,73,216,L,"1,998",56,28,67,7,7,14,152,0,3,0,0,0,0,0,,
"79,015",Todd Hornung,18,Canada,72,201,C,"1,998",59,,64,19,18,37,96,13,16,6,6,12,26,6,,
"79,288",Eric Laplante,19,Canada,72,185,L,"1,998",65,,40,19,22,41,193,-10,,,,,,,,
"7,113",Kevin Holdridge,18,USA,75,205,D,"1,998",70,,61,4,15,19,106,23,15,0,3,3,20,-2,,
"79,294",Yevgeni Lazarev,18,Ukraine,73,207,R,"1,998",79,82,11,9,13,22,19,0,5,5,2,7,17,0,,
"79,301",David Cameron,18,Canada,73,174,C,"1,998",80,35,69,20,36,56,42,-14,,,,,,,,
"9,455",Justin Morrison,19,USA,75,220,R,"1,998",81,45,42,4,9,13,8,0,,,,,,,,
"79,304",Geoff Koch,19,USA,74,196,L,"1,998",85,,43,5,6,11,51,0,,,,,,,,
257,Gabriel Karlsson Pears,18,Sweden,73,205,C,"1,998",86,22,34,11,16,27,34,0,,,,,,,,
"79,344",Kent Sauer,19,USA,74,227,D,"1,998",88,,54,4,19,23,99,0,10,1,2,3,18,0,,
"60,623",Regan Darby,18,Canada,73,201,D,"1,998",90,,39,1,3,4,153,-14,,,,,,,,
90,Matthias Trattnig,19,Austria,73,212,D,"1,998",94,43,34,8,9,17,30,0,,,,,,,,
"79,345",Andy Burnham,18,Canada,76,201,R,"1,998",95,,38,2,4,6,78,3,,,,,,,,
"17,798",Ryan Van Buskirk,20,Canada,74,214,D,"2,000",121,,47,8,21,29,62,-2,7,1,2,3,16,1,,
"6,421",Shaun Sutter,18,Canada,73,181,R,"1,998",102,,69,11,9,20,146,-13,4,0,0,0,4,-4,,
